chr	start	end	strand	start_exon	end_exon	transID	start	end	domainName	geneSymbol	PDBid	geneID
chr16	3166431	3166529	+	Exon_4	Exon_4	ENST00000382192	123	155	PF01352	ZNF205	NA	ENSG00000122386
chr16	3166431	3166529	+	Exon_4	Exon_4	ENST00000219091	123	155	PF01352	ZNF205	NA	ENSG00000122386
chr16	3166431	3166529	+	Exon_4	Exon_4	ENST00000414351	123	155	PF01352	ZNF205	NA	ENSG00000122386
chr16	3166431	3166529	+	Exon_3	Exon_3	ENST00000570935	49	81	PF01352	ZNF205	NA	ENSG00000122386
chr16	3169667	3169735	+	Exon_4	Exon_4	ENST00000570935	225	247	PF00096	ZNF205	NA	ENSG00000122386
chr16	3169751	3169819	+	Exon_6	Exon_6	ENST00000382192	364	386	PF12874	ZNF205	NA	ENSG00000122386
chr16	3169751	3169819	+	Exon_6	Exon_6	ENST00000219091	364	386	PF12874	ZNF205	NA	ENSG00000122386
chr16	3170003	3170071	+	Exon_6	Exon_6	ENST00000382192	448	470	PF00096	ZNF205	NA	ENSG00000122386
chr16	3170003	3170071	+	Exon_6	Exon_6	ENST00000219091	448	470	PF00096	ZNF205	NA	ENSG00000122386
chr16	3170087	3170155	+	Exon_6	Exon_6	ENST00000382192	476	498	PF00096	ZNF205	NA	ENSG00000122386
chr16	3191085	3191153	+	Exon_5	Exon_5	ENST00000576416	373	395	PF00096	ZNF213	NA	ENSG00000085644
chr16	3191085	3191153	+	Exon_3	Exon_3	ENST00000574575	184	206	PF00096	ZNF213	NA	ENSG00000085644
chr16	3274039	3274074	-	Exon_4	Exon_4	ENST00000396868	335	346	PF13912	ZNF200	NA	ENSG00000010539
chr16	3274039	3274074	-	Exon_4	Exon_4	ENST00000414144	336	347	PF13912	ZNF200	NA	ENSG00000010539
chr16	3274039	3274074	-	Exon_4	Exon_4	ENST00000431561	336	347	PF13912	ZNF200	NA	ENSG00000010539
chr16	3274039	3274074	-	Exon_4	Exon_4	ENST00000396870	335	346	PF13912	ZNF200	NA	ENSG00000010539
chr16	3274039	3274074	-	Exon_4	Exon_4	ENST00000575948	335	346	PF13912	ZNF200	NA	ENSG00000010539
chr16	3274174	3274242	-	Exon_4	Exon_4	ENST00000396868	279	301	PF00096	ZNF200	NA	ENSG00000010539
chr16	3274174	3274242	-	Exon_4	Exon_4	ENST00000414144	280	302	PF00096	ZNF200	NA	ENSG00000010539
chr16	3274174	3274242	-	Exon_4	Exon_4	ENST00000431561	280	302	PF00096	ZNF200	NA	ENSG00000010539
chr16	3274174	3274242	-	Exon_4	Exon_4	ENST00000396870	279	301	PF00096	ZNF200	NA	ENSG00000010539
chr16	3188540	3190823	+	Exon_1	Exon_3	ENST00000416391	41	127	PF02023	ZNF213	NA	ENSG00000085644
